TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.40.52.927, IED_Pz, 4, 4.607108, 0.737245, 0.370238, 0.371760, 2.463954 
08.40.52.930, IED_O1, 4, 4.607108, 0.737245, 0.370238, 0.371760, 2.463954 
08.40.52.935, IED_O2, 4, 12.286695, 1.891882, 0.772071, 0.406101, 5.872910 
08.40.52.939, IED_P8, 4, 14.909204, 2.613950, 1.177025, 0.455809, 7.384558 
08.40.52.941, IED_T8, 4, 7.937770, 2.237035, 1.315283, 0.485258, 7.282643 
08.40.52.945, IED_FC6, 4, 8.668282, 2.709623, 1.074635, 0.417828, 9.299061 
08.40.52.953, IED_F4, 4, 7.653607, 1.548255, 0.544188, 0.321692, 7.368753 
08.40.52.955, IED_F8, 4, 9.270014, 3.490491, 1.338947, 0.496252, 10.730114 
08.40.52.957, IED_AF4, 4, 9.810807, 2.103161, 0.853096, 0.333796, 9.414747 
08.40.53.958, IED_AF3, 4, 2.163065, 2.429910, 1.297467, 0.568510, 2.128865 
08.40.53.961, IED_F7, 4, 3.579454, 0.502669, 0.664246, 0.399311, 1.268854 
08.40.53.964, IED_F3, 4, 1.424907, 0.468297, 0.249953, 0.108235, 2.939859 
08.40.53.968, IED_FC5, 4, 4.101364, 0.939886, 0.961687, 0.499382, 2.070390 
08.40.53.971, IED_T7, 4, 1.309312, 0.334449, 0.517308, 0.522006, 1.038667 
08.40.53.974, IED_P7, 4, 2.600210, 0.109197, 0.187679, 0.114318, 0.735818 
08.40.53.977, IED_Pz, 4, 4.871673, 0.957758, 0.339574, 0.485063, 1.230910 
08.40.53.980, IED_O1, 4, 4.871673, 0.957758, 0.339574, 0.485063, 1.230910 
08.40.53.983, IED_O2, 4, 13.589970, 1.520635, 0.755395, 0.806650, 3.649569 
08.40.53.986, IED_P8, 4, 10.263875, 1.087765, 0.763104, 0.707232, 3.714517 
08.40.53.989, IED_T8, 4, 2.649279, 0.537069, 0.977993, 0.394462, 2.108071 
08.40.53.993, IED_FC6, 4, 3.293844, 0.439338, 0.484874, 0.470546, 2.013330 
08.40.53.994, IED_F4, 4, 6.109655, 0.642035, 0.440415, 0.234832, 1.613532 
08.40.53.996, IED_F8, 4, 3.426811, 1.356418, 1.185853, 0.605604, 1.621191 
08.40.53.998, IED_AF4, 4, 6.901035, 1.009767, 0.769350, 0.368724, 2.730311 
08.40.55.001, IED_AF3, 4, 2.155741, 1.134675, 0.952399, 0.537597, 3.009748 
08.40.55.003, IED_F7, 4, 1.829152, 0.584869, 0.622400, 0.561529, 1.135351 
08.40.55.004, IED_F3, 4, 0.562877, 0.198101, 0.116398, 0.110333, 0.514679 
08.40.55.006, IED_FC5, 4, 2.308624, 0.641544, 0.490470, 0.409232, 2.955719 
08.40.55.013, IED_T7, 4, 0.807434, 0.467749, 0.420861, 0.318921, 1.547393 
08.40.55.017, IED_P7, 4, 2.049006, 0.395584, 0.223493, 0.182952, 0.605714 
08.40.55.020, IED_Pz, 4, 4.227989, 1.178944, 0.689616, 0.628550, 0.658978 
08.40.55.024, IED_O1, 4, 4.227989, 1.178944, 0.689616, 0.628550, 0.658978 
08.40.55.027, IED_O2, 4, 4.319996, 1.075087, 0.957484, 0.873225, 1.336063 
08.40.55.029, IED_P8, 4, 5.617456, 1.320416, 0.908693, 0.678524, 1.855876 
08.40.55.034, IED_T8, 4, 2.465418, 1.300445, 0.850565, 0.726615, 1.268368 
08.40.55.039, IED_FC6, 4, 2.112919, 1.202242, 0.991922, 0.597260, 2.669560 
08.40.55.044, IED_F4, 4, 2.845892, 0.602514, 0.559633, 0.342599, 2.343230 
08.40.55.048, IED_F8, 4, 3.188808, 1.480692, 1.209895, 0.850638, 3.126803 
08.40.55.051, IED_AF4, 4, 2.906074, 0.901629, 0.770795, 0.397422, 4.058360 
08.40.56.052, IED_AF3, 4, 3.022548, 2.631781, 1.192380, 0.562224, 8.709729 
08.40.56.057, IED_F7, 4, 1.322580, 1.064552, 1.743892, 0.596551, 6.994571 
08.40.56.060, IED_F3, 4, 1.500171, 0.161527, 0.129900, 0.133886, 0.433552 
08.40.56.063, IED_FC5, 4, 1.726919, 1.330207, 2.230117, 0.737654, 9.894734 
08.40.56.066, IED_T7, 4, 0.964653, 0.726000, 1.453114, 0.408709, 6.749138 
08.40.56.069, IED_P7, 4, 2.240295, 0.296324, 0.527143, 0.195345, 2.368243 
08.40.56.071, IED_Pz, 4, 5.339202, 0.459736, 0.577518, 0.460957, 1.407317 
08.40.56.073, IED_O1, 4, 5.339202, 0.459736, 0.577518, 0.460957, 1.407317 
08.40.56.075, IED_O2, 4, 11.128844, 0.983427, 2.031285, 0.664790, 6.926573 
08.40.56.076, IED_P8, 4, 10.418193, 1.869610, 2.155886, 0.553390, 9.888677 
08.40.56.079, IED_T8, 4, 3.527769, 1.759933, 1.928568, 0.575572, 7.989055 
08.40.56.082, IED_FC6, 4, 2.045300, 1.144347, 2.473189, 0.539910, 8.378736 
08.40.56.084, IED_F4, 4, 3.849218, 0.622378, 1.693624, 0.468238, 5.395623 
08.40.56.085, IED_F8, 4, 2.376598, 1.476222, 2.712654, 0.696409, 11.210636 
08.40.56.088, IED_AF4, 4, 4.029336, 1.537511, 2.215449, 0.583082, 8.723041 
08.40.57.091, IED_AF3, 4, 4.036302, 2.383028, 0.749095, 0.446969, 1.540504 
08.40.57.093, IED_F7, 4, 3.621646, 0.444397, 0.290960, 0.174258, 1.047100 
08.40.57.095, IED_F3, 4, 1.409310, 0.277737, 0.145011, 0.073710, 0.682550 
08.40.57.098, IED_FC5, 4, 5.001336, 0.605020, 0.412029, 0.309639, 1.907972 
08.40.57.100, IED_T7, 4, 1.322747, 0.376379, 0.119978, 0.223261, 0.820269 
08.40.57.102, IED_P7, 4, 2.727806, 0.124920, 0.118070, 0.102452, 0.932103 
08.40.57.107, IED_Pz, 4, 5.951892, 0.582977, 0.293023, 0.180883, 1.151549 
08.40.57.112, IED_O1, 4, 5.951892, 0.582977, 0.293023, 0.180883, 1.151549 
08.40.57.118, IED_O2, 4, 19.302352, 0.519470, 0.671070, 0.278787, 6.602787 
08.40.57.121, IED_P8, 4, 15.470525, 0.800281, 0.979679, 0.492488, 5.967183 
08.40.57.125, IED_T8, 4, 3.147795, 0.359423, 0.691302, 0.541950, 2.509062 
08.40.57.129, IED_FC6, 4, 3.574544, 0.640751, 0.568250, 0.327892, 1.985405 
08.40.57.136, IED_F4, 4, 4.721629, 0.549671, 0.325006, 0.191287, 1.456663 
08.40.57.139, IED_F8, 4, 3.529544, 0.868102, 0.632620, 0.392568, 2.236068 
08.40.57.142, IED_AF4, 4, 6.728539, 1.017967, 0.321528, 0.217177, 2.530844 
08.40.58.145, IED_AF3, 4, 4.034689, 0.537739, 1.087791, 0.414108, 2.009679 
08.40.58.147, IED_F7, 4, 5.496321, 0.546768, 0.646381, 0.294206, 1.884088 
08.40.58.149, IED_F3, 4, 0.820372, 0.144293, 0.157078, 0.089649, 0.357479 
08.40.58.151, IED_FC5, 4, 5.295887, 0.669064, 0.753708, 0.369241, 2.906087 
08.40.58.153, IED_T7, 4, 2.437988, 0.247165, 0.281448, 0.216855, 1.172564 
08.40.58.156, IED_P7, 4, 2.604438, 0.470203, 0.224524, 0.130308, 1.206935 
08.40.58.160, IED_Pz, 4, 4.621095, 0.355937, 0.426550, 0.290297, 0.981780 
08.40.58.167, IED_O1, 4, 4.701187, 0.310504, 0.506952, 0.310138, 1.144422 
08.40.58.170, IED_O2, 4, 8.516232, 0.734482, 0.555951, 0.255299, 1.909565 
08.40.58.172, IED_P8, 4, 8.159664, 1.180933, 0.710531, 0.346370, 1.694173 
08.40.58.174, IED_T8, 4, 4.253563, 1.408704, 0.732228, 0.233619, 1.495143 
08.40.58.177, IED_FC6, 4, 4.624529, 0.987067, 1.357995, 0.629351, 2.789717 
08.40.58.179, IED_F4, 4, 6.389787, 0.817170, 0.852516, 0.159182, 2.102529 
08.40.58.184, IED_F8, 4, 27.575642, 18.372095, 5.588179, 1.179098, 258.446641 
08.40.58.186, IED_AF4, 4, 8.284418, 0.798393, 0.847492, 0.176282, 4.311951 
